SUB_QUEUE_1497959700578070,test1,0.031000
SUB_QUEUE_1497959700690481,test1,0.037000
SUB_QUEUE_1497959700793874,test1,0.029000
SUB_QUEUE_1497959700897321,test1,0.025000
SUB_QUEUE_1497959701000838,test1,0.030000
SUB_QUEUE_1497959701103940,test1,0.020000
SUB_QUEUE_1497959701207648,test1,0.047000
SUB_QUEUE_1497959701310894,test1,0.027000
SUB_QUEUE_1497959701414439,test1,0.026000
SUB_QUEUE_1497959701517794,test1,0.060000
SUB_QUEUE_1497959701621176,test1,0.029000
SUB_QUEUE_1497959701724637,test1,0.017000
SUB_QUEUE_1497959701827942,test1,0.025000
SUB_QUEUE_1497959701931293,test1,0.040000
SUB_QUEUE_1497959702034887,test1,0.033000
SUB_QUEUE_1497959702138688,test1,0.048000
SUB_QUEUE_1497959702242188,test1,0.041000
SUB_QUEUE_1497959702345620,test1,0.017000
SUB_QUEUE_1497959702449083,test1,0.028000
SUB_QUEUE_1497959702552747,test1,0.031000
SUB_QUEUE_1497959702656953,test1,0.145000
SUB_QUEUE_1497959702760768,test1,0.113000
SUB_QUEUE_1497959702863926,test1,0.039000
SUB_QUEUE_1497959702967629,test1,0.021000
SUB_QUEUE_1497959703071529,test1,0.086000
SUB_QUEUE_1497959703175210,test1,0.081000
SUB_QUEUE_1497959703278361,test1,0.020000
SUB_QUEUE_1497959703381866,test1,0.015000
SUB_QUEUE_1497959703485294,test1,0.034000
SUB_QUEUE_1497959703588707,test1,0.036000
SUB_QUEUE_1497959703692514,test1,0.032000
SUB_QUEUE_1497959703796432,test1,0.084000
SUB_QUEUE_1497959703900141,test1,0.123000
SUB_QUEUE_1497959704003376,test1,0.033000
SUB_QUEUE_1497959704106824,test1,0.017000
SUB_QUEUE_1497959704210182,test1,0.026000
SUB_QUEUE_1497959704313691,test1,0.023000
SUB_QUEUE_1497959704417279,test1,0.040000
SUB_QUEUE_1497959704521257,test1,0.115000
SUB_QUEUE_1497959704625013,test1,0.048000
SUB_QUEUE_1497959704728419,test1,0.044000
SUB_QUEUE_1497959704831986,test1,0.020000
SUB_QUEUE_1497959704935576,test1,0.016000
SUB_QUEUE_1497959705039138,test1,0.016000
SUB_QUEUE_1497959705142637,test1,0.039000
SUB_QUEUE_1497959705246160,test1,0.020000
SUB_QUEUE_1497959705349686,test1,0.017000
SUB_QUEUE_1497959705453291,test1,0.017000
SUB_QUEUE_1497959705556723,test1,0.025000
SUB_QUEUE_1497959705660385,test1,0.017000
SUB_QUEUE_1497959705763938,test1,0.020000
SUB_QUEUE_1497959705867485,test1,0.032000
SUB_QUEUE_1497959705971064,test1,0.037000
SUB_QUEUE_1497959706074583,test1,0.018000
SUB_QUEUE_1497959706177991,test1,0.020000
SUB_QUEUE_1497959706281539,test1,0.022000
SUB_QUEUE_1497959706385058,test1,0.021000
SUB_QUEUE_1497959706488590,test1,0.049000
SUB_QUEUE_1497959706592212,test1,0.018000
SUB_QUEUE_1497959706696010,test1,0.075000
SUB_QUEUE_1497959706799676,test1,0.074000
SUB_QUEUE_1497959706903556,test1,0.087000
SUB_QUEUE_1497959707006609,test1,0.016000
SUB_QUEUE_1497959707110096,test1,0.045000
SUB_QUEUE_1497959707213976,test1,0.083000
SUB_QUEUE_1497959707317054,test1,0.055000
SUB_QUEUE_1497959707420843,test1,0.112000
SUB_QUEUE_1497959707523981,test1,0.024000
SUB_QUEUE_1497959707627983,test1,0.098000
SUB_QUEUE_1497959707731754,test1,0.041000
SUB_QUEUE_1497959707835541,test1,0.047000
SUB_QUEUE_1497959707939115,test1,0.024000
SUB_QUEUE_1497959708042770,test1,0.021000
SUB_QUEUE_1497959708146177,test1,0.026000
SUB_QUEUE_1497959708250021,test1,0.024000
SUB_QUEUE_1497959708353465,test1,0.024000
SUB_QUEUE_1497959708457129,test1,0.055000
SUB_QUEUE_1497959708560437,test1,0.024000
SUB_QUEUE_1497959708664322,test1,0.037000
SUB_QUEUE_1497959708767582,test1,0.056000
SUB_QUEUE_1497959708871494,test1,0.110000
SUB_QUEUE_1497959708974464,test1,0.045000
SUB_QUEUE_1497959709078892,test1,0.028000
SUB_QUEUE_1497959709182319,test1,0.021000
SUB_QUEUE_1497959709285955,test1,0.030000
SUB_QUEUE_1497959709389239,test1,0.022000
SUB_QUEUE_1497959709493630,test1,0.032000
SUB_QUEUE_1497959709597252,test1,0.025000
SUB_QUEUE_1497959709700775,test1,0.023000
SUB_QUEUE_1497959709804397,test1,0.048000
SUB_QUEUE_1497959709908016,test1,0.051000
SUB_QUEUE_1497959710011461,test1,0.022000
SUB_QUEUE_1497959710114634,test1,0.023000
SUB_QUEUE_1497959710217992,test1,0.021000
SUB_QUEUE_1497959710321253,test1,0.028000
SUB_QUEUE_1497959710424691,test1,0.022000
SUB_QUEUE_1497959710528462,test1,0.031000
SUB_QUEUE_1497959710632539,test1,0.023000
SUB_QUEUE_1497959710736433,test1,0.062000
SUB_QUEUE_1497959710840039,test1,0.027000
